date,open,high,low,close,volume,oi
2022-06-10 09:15:00+05:30,103.0,103.0,103.0,103.0,0,0
2022-06-10 09:16:00+05:30,103.0,103.0,103.0,103.0,0,52300
2022-06-10 09:17:00+05:30,103.0,105.95,103.0,105.95,650,52350
2022-06-10 09:18:00+05:30,105.95,108.95,104.5,104.5,450,52350
2022-06-10 09:19:00+05:30,104.5,104.5,102.3,102.3,50,52350
2022-06-10 09:20:00+05:30,103.0,104.0,103.0,104.0,100,52350
2022-06-10 09:21:00+05:30,104.0,104.0,99.1,99.1,500,52750
2022-06-10 09:22:00+05:30,99.1,99.1,99.1,99.1,0,52750
2022-06-10 09:23:00+05:30,99.1,101.0,99.1,101.0,150,52750
2022-06-10 09:24:00+05:30,101.0,101.0,100.15,100.15,50,52650
2022-06-10 09:25:00+05:30,100.15,102.0,100.15,102.0,50,52650
2022-06-10 09:26:00+05:30,102.0,103.5,102.0,103.25,600,52650
2022-06-10 09:27:00+05:30,103.25,104.05,103.25,104.05,100,52650
2022-06-10 09:28:00+05:30,104.95,104.95,103.0,103.0,150,52650
2022-06-10 09:29:00+05:30,103.0,108.55,103.0,108.55,500,52900
2022-06-10 09:30:00+05:30,108.55,108.55,108.55,108.55,0,52900
2022-06-10 09:31:00+05:30,108.55,108.55,107.95,107.95,100,52900
2022-06-10 09:32:00+05:30,107.95,107.95,106.0,107.45,500,53000
2022-06-10 09:33:00+05:30,107.45,107.45,104.55,104.55,50,53000
2022-06-10 09:34:00+05:30,104.55,105.85,104.55,105.85,500,53000
2022-06-10 09:35:00+05:30,105.85,107.35,105.85,107.35,50,53000
2022-06-10 09:36:00+05:30,107.35,107.35,107.0,107.0,50,53200
2022-06-10 09:37:00+05:30,107.0,107.0,107.0,107.0,0,53200
2022-06-10 09:38:00+05:30,107.0,107.0,107.0,107.0,0,53200
2022-06-10 09:39:00+05:30,107.0,107.0,106.3,106.3,100,53200
2022-06-10 09:40:00+05:30,106.3,106.75,106.3,106.75,100,53200
2022-06-10 09:41:00+05:30,106.75,106.75,102.5,104.0,650,53400
2022-06-10 09:42:00+05:30,104.0,104.0,104.0,104.0,0,53400
2022-06-10 09:43:00+05:30,104.0,106.05,104.0,106.05,50,53400
2022-06-10 09:44:00+05:30,106.05,106.05,104.5,104.5,100,53350
2022-06-10 09:45:00+05:30,104.5,107.55,104.5,107.0,200,53350
2022-06-10 09:46:00+05:30,107.3,107.4,107.0,107.0,1100,53350
2022-06-10 09:47:00+05:30,107.0,108.0,107.0,108.0,50,54200
2022-06-10 09:48:00+05:30,108.0,108.0,108.0,108.0,0,54200
2022-06-10 09:49:00+05:30,108.0,108.0,108.0,108.0,0,54200
2022-06-10 09:50:00+05:30,108.0,108.0,104.65,104.65,50,54250
2022-06-10 09:51:00+05:30,104.65,104.65,104.65,104.65,150,54250
2022-06-10 09:52:00+05:30,104.65,104.65,104.65,104.65,0,54250
2022-06-10 09:53:00+05:30,104.65,104.65,101.25,101.25,350,54300
2022-06-10 09:54:00+05:30,101.25,103.0,101.25,103.0,250,54300
2022-06-10 09:55:00+05:30,103.0,103.0,103.0,103.0,0,54300
2022-06-10 09:56:00+05:30,103.0,106.85,103.0,106.85,100,54300
2022-06-10 09:57:00+05:30,106.85,108.0,106.85,108.0,150,54500
2022-06-10 09:58:00+05:30,108.0,109.0,108.0,109.0,100,54500
2022-06-10 09:59:00+05:30,109.0,109.0,108.3,108.3,100,54750
2022-06-10 10:00:00+05:30,108.3,108.3,108.3,108.3,50,54750
2022-06-10 10:01:00+05:30,108.3,109.0,108.3,109.0,100,54750
2022-06-10 10:02:00+05:30,109.0,109.0,109.0,109.0,50,54750
2022-06-10 10:03:00+05:30,109.0,109.0,109.0,109.0,0,54750
2022-06-10 10:04:00+05:30,109.0,109.0,107.9,107.9,100,54800
2022-06-10 10:05:00+05:30,107.9,107.9,107.85,107.85,50,54800
2022-06-10 10:06:00+05:30,107.85,112.0,107.85,112.0,50,54800
2022-06-10 10:07:00+05:30,112.0,112.0,111.8,111.8,50,54800
2022-06-10 10:08:00+05:30,111.8,111.8,111.8,111.8,0,54800
2022-06-10 10:09:00+05:30,111.8,111.8,110.45,110.45,100,54800
2022-06-10 10:10:00+05:30,110.45,110.45,110.45,110.45,0,54800
2022-06-10 10:11:00+05:30,110.45,111.4,110.45,111.4,100,54800
2022-06-10 10:12:00+05:30,111.4,111.4,111.4,111.4,0,54800
2022-06-10 10:13:00+05:30,111.4,111.4,111.4,111.4,0,54800
2022-06-10 10:14:00+05:30,111.4,111.4,109.3,109.3,100,54700
2022-06-10 10:15:00+05:30,109.3,109.55,109.3,109.55,50,54700
2022-06-10 10:16:00+05:30,109.55,109.55,109.55,109.55,0,54700
2022-06-10 10:17:00+05:30,109.55,109.55,109.55,109.55,0,54700
2022-06-10 10:18:00+05:30,109.55,109.55,109.55,109.55,0,54700
2022-06-10 10:19:00+05:30,109.55,109.55,106.5,106.5,50,54650
2022-06-10 10:20:00+05:30,106.5,106.5,106.5,106.5,0,54650
2022-06-10 10:21:00+05:30,106.5,106.5,106.5,106.5,0,54650
2022-06-10 10:22:00+05:30,106.5,106.5,105.6,105.6,50,54600
2022-06-10 10:23:00+05:30,105.6,105.6,105.6,105.6,0,54600
2022-06-10 10:24:00+05:30,105.6,107.5,105.6,107.5,50,54650
2022-06-10 10:25:00+05:30,107.5,107.5,107.5,107.5,0,54650
2022-06-10 10:26:00+05:30,107.5,108.3,107.5,108.3,500,54650
2022-06-10 10:27:00+05:30,106.05,106.05,104.4,104.4,900,54650
2022-06-10 10:28:00+05:30,104.4,105.15,104.3,105.15,600,54650
2022-06-10 10:29:00+05:30,105.15,105.15,105.15,105.15,0,54650
2022-06-10 10:30:00+05:30,105.15,105.15,104.05,104.05,100,54850
2022-06-10 10:31:00+05:30,104.05,104.05,104.05,104.05,0,54850
2022-06-10 10:32:00+05:30,105.15,105.15,105.15,105.15,100,54850
2022-06-10 10:33:00+05:30,105.15,105.15,105.15,105.15,0,54850
2022-06-10 10:34:00+05:30,105.15,105.15,100.5,100.5,50,54900
2022-06-10 10:35:00+05:30,100.5,100.5,100.5,100.5,0,54900
2022-06-10 10:36:00+05:30,100.5,100.5,100.5,100.5,0,54900
2022-06-10 10:37:00+05:30,100.5,100.5,100.5,100.5,0,54900
2022-06-10 10:38:00+05:30,100.5,100.5,100.5,100.5,0,54900
2022-06-10 10:39:00+05:30,100.5,100.5,100.5,100.5,0,54900
2022-06-10 10:40:00+05:30,100.5,100.5,100.5,100.5,0,54900
2022-06-10 10:41:00+05:30,100.5,100.5,100.5,100.5,0,54900
2022-06-10 10:42:00+05:30,100.5,102.15,100.5,102.15,50,54750
2022-06-10 10:43:00+05:30,102.15,102.15,102.15,102.15,0,54750
2022-06-10 10:44:00+05:30,102.15,102.15,102.15,102.15,0,54750
2022-06-10 10:45:00+05:30,102.15,102.15,102.15,102.15,0,54750
2022-06-10 10:46:00+05:30,102.15,102.15,102.15,102.15,0,54750
2022-06-10 10:47:00+05:30,102.15,102.15,102.0,102.0,0,54750
2022-06-10 10:48:00+05:30,102.0,102.0,102.0,102.0,0,54750
2022-06-10 10:49:00+05:30,102.0,102.0,102.0,102.0,0,54750
2022-06-10 10:50:00+05:30,102.0,102.0,102.0,102.0,0,54750
2022-06-10 10:51:00+05:30,102.0,102.0,102.0,102.0,0,54750
2022-06-10 10:52:00+05:30,102.0,102.0,102.0,102.0,0,54750
2022-06-10 10:53:00+05:30,102.0,102.0,102.0,102.0,0,54750
2022-06-10 10:54:00+05:30,102.0,104.3,102.0,104.3,50,54750
2022-06-10 10:55:00+05:30,104.3,104.3,104.3,104.3,0,54750
2022-06-10 10:56:00+05:30,104.3,104.3,104.3,104.3,0,54750
2022-06-10 10:57:00+05:30,104.3,104.3,104.3,104.3,0,54750
2022-06-10 10:58:00+05:30,104.3,105.0,103.95,105.0,100,54800
2022-06-10 10:59:00+05:30,105.0,105.0,105.0,105.0,50,54800
2022-06-10 11:00:00+05:30,105.0,105.0,103.4,103.4,250,54900
2022-06-10 11:01:00+05:30,103.4,103.4,102.25,102.25,100,54900
2022-06-10 11:02:00+05:30,102.25,105.85,102.25,105.85,250,55200
2022-06-10 11:03:00+05:30,105.85,105.85,105.85,105.85,0,55200
2022-06-10 11:04:00+05:30,105.85,105.85,105.85,105.85,0,55200
2022-06-10 11:05:00+05:30,105.85,105.85,105.85,105.85,0,55200
2022-06-10 11:06:00+05:30,105.85,105.85,103.8,103.8,50,55400
2022-06-10 11:07:00+05:30,103.8,103.8,103.8,103.8,0,55400
2022-06-10 11:08:00+05:30,103.8,103.8,103.8,103.8,0,55400
2022-06-10 11:09:00+05:30,103.8,103.8,103.55,103.55,50,55400
2022-06-10 11:10:00+05:30,103.55,104.0,103.55,104.0,50,55400
2022-06-10 11:11:00+05:30,104.0,104.0,104.0,104.0,0,55400
2022-06-10 11:12:00+05:30,104.0,104.0,104.0,104.0,0,55400
2022-06-10 11:13:00+05:30,104.0,104.0,104.0,104.0,0,55400
2022-06-10 11:14:00+05:30,104.0,104.0,104.0,104.0,0,55400
