date,open,high,low,close,volume,oi
2022-06-03 09:15:00+05:30,99.6,99.6,70.25,70.3,1350,40400
2022-06-03 09:16:00+05:30,70.3,72.0,70.3,71.6,250,40400
2022-06-03 09:17:00+05:30,71.6,72.0,71.0,71.5,1000,40050
2022-06-03 09:18:00+05:30,71.5,71.5,70.4,70.4,100,40050
2022-06-03 09:19:00+05:30,70.4,72.75,70.4,72.75,200,40050
2022-06-03 09:20:00+05:30,72.75,72.75,72.2,72.55,500,39900
2022-06-03 09:21:00+05:30,72.55,72.55,71.5,72.0,2100,39900
2022-06-03 09:22:00+05:30,72.0,72.0,72.0,72.0,200,39900
2022-06-03 09:23:00+05:30,72.0,72.0,72.0,72.0,0,39900
2022-06-03 09:24:00+05:30,72.0,72.0,70.4,70.4,500,38700
2022-06-03 09:25:00+05:30,70.4,71.0,70.4,71.0,1250,38700
2022-06-03 09:26:00+05:30,71.0,72.7,71.0,72.0,250,38500
2022-06-03 09:27:00+05:30,72.0,72.0,70.45,71.0,650,38500
2022-06-03 09:28:00+05:30,71.0,71.0,70.45,70.7,1550,38500
2022-06-03 09:29:00+05:30,70.7,71.0,70.05,70.45,1400,40450
2022-06-03 09:30:00+05:30,70.45,73.9,70.45,73.0,2600,40450
2022-06-03 09:31:00+05:30,73.0,73.0,73.0,73.0,50,40450
2022-06-03 09:32:00+05:30,73.0,73.0,71.15,71.7,500,40800
2022-06-03 09:33:00+05:30,71.7,71.7,71.7,71.7,50,40800
2022-06-03 09:34:00+05:30,71.7,74.2,71.7,74.2,400,40800
2022-06-03 09:35:00+05:30,74.2,74.2,74.2,74.2,0,40800
2022-06-03 09:36:00+05:30,74.2,74.2,74.2,74.2,0,40800
2022-06-03 09:37:00+05:30,74.2,74.2,72.5,72.5,400,40800
2022-06-03 09:38:00+05:30,72.5,73.0,72.5,73.0,50,40800
2022-06-03 09:39:00+05:30,73.0,73.55,73.0,73.45,700,40350
2022-06-03 09:40:00+05:30,73.45,73.45,72.9,72.9,0,40350
2022-06-03 09:41:00+05:30,72.9,72.9,72.9,72.9,100,40650
2022-06-03 09:42:00+05:30,72.9,72.9,71.2,71.2,200,40650
2022-06-03 09:43:00+05:30,71.2,73.0,71.2,73.0,400,40650
2022-06-03 09:44:00+05:30,73.0,73.0,73.0,73.0,0,40650
2022-06-03 09:45:00+05:30,73.0,73.0,73.0,73.0,50,40550
2022-06-03 09:46:00+05:30,73.0,73.0,72.0,72.0,50,40550
2022-06-03 09:47:00+05:30,72.0,72.0,72.0,72.0,0,40550
2022-06-03 09:48:00+05:30,72.0,72.0,72.0,72.0,50,40550
