,date,open,high,low,close,volume,oi
0,2022-04-29 09:15:00+05:30,3.75,3.95,3.75,3.8,35625,5469150
1,2022-04-29 09:16:00+05:30,3.75,3.8,3.75,3.8,94050,5469150
2,2022-04-29 09:17:00+05:30,3.8,3.9,3.8,3.9,28500,5481975
3,2022-04-29 09:18:00+05:30,3.9,3.9,3.8,3.9,68400,5481975
4,2022-04-29 09:19:00+05:30,3.95,4.0,3.9,3.95,45600,5481975
5,2022-04-29 09:20:00+05:30,3.9,3.95,3.85,3.85,31350,5452050
6,2022-04-29 09:21:00+05:30,3.85,3.85,3.8,3.8,21375,5452050
7,2022-04-29 09:22:00+05:30,3.8,3.8,3.75,3.75,21375,5452050
8,2022-04-29 09:23:00+05:30,3.75,3.75,3.7,3.75,14250,5473425
9,2022-04-29 09:24:00+05:30,3.75,3.75,3.7,3.7,49875,5473425
10,2022-04-29 09:25:00+05:30,3.7,3.9,3.7,3.8,49875,5473425
11,2022-04-29 09:26:00+05:30,3.8,3.95,3.8,3.9,84075,5546100
12,2022-04-29 09:27:00+05:30,3.95,3.95,3.9,3.9,35625,5546100
13,2022-04-29 09:28:00+05:30,3.9,3.9,3.85,3.9,28500,5546100
14,2022-04-29 09:29:00+05:30,3.9,3.9,3.8,3.85,31350,5568900
15,2022-04-29 09:30:00+05:30,3.85,3.9,3.8,3.85,28500,5568900
16,2022-04-29 09:31:00+05:30,3.9,3.9,3.85,3.85,8550,5568900
17,2022-04-29 09:32:00+05:30,3.85,3.85,3.8,3.8,9975,5571750
18,2022-04-29 09:33:00+05:30,3.8,3.8,3.8,3.8,9975,5571750
19,2022-04-29 09:34:00+05:30,3.8,3.8,3.75,3.75,4275,5571750
20,2022-04-29 09:35:00+05:30,3.75,3.75,3.7,3.75,8550,5586000
21,2022-04-29 09:36:00+05:30,3.75,3.75,3.7,3.7,11400,5586000
22,2022-04-29 09:37:00+05:30,3.7,3.7,3.65,3.7,34200,5586000
23,2022-04-29 09:38:00+05:30,3.7,3.7,3.7,3.7,11400,5588850
24,2022-04-29 09:39:00+05:30,3.7,3.7,3.6,3.6,17100,5588850
25,2022-04-29 09:40:00+05:30,3.6,3.6,3.6,3.6,12825,5588850
26,2022-04-29 09:41:00+05:30,3.65,3.65,3.6,3.6,11400,5603100
27,2022-04-29 09:42:00+05:30,3.6,3.65,3.6,3.65,5700,5603100
28,2022-04-29 09:43:00+05:30,3.65,3.7,3.65,3.7,8550,5603100
29,2022-04-29 09:44:00+05:30,3.7,3.7,3.65,3.65,14250,5604525
30,2022-04-29 09:45:00+05:30,3.65,3.65,3.6,3.65,15675,5604525
31,2022-04-29 09:46:00+05:30,3.65,3.65,3.65,3.65,1425,5604525
32,2022-04-29 09:47:00+05:30,3.6,3.6,3.55,3.6,9975,5613075
33,2022-04-29 09:48:00+05:30,3.6,3.6,3.55,3.55,11400,5613075
34,2022-04-29 09:49:00+05:30,3.55,3.55,3.5,3.55,21375,5613075
35,2022-04-29 09:50:00+05:30,3.55,3.55,3.5,3.5,11400,5624475
36,2022-04-29 09:51:00+05:30,3.5,3.55,3.5,3.5,22800,5624475
37,2022-04-29 09:52:00+05:30,3.55,3.55,3.5,3.5,15675,5624475
38,2022-04-29 09:53:00+05:30,3.6,3.6,3.55,3.6,45600,5633025
39,2022-04-29 09:54:00+05:30,3.6,3.6,3.55,3.55,45600,5633025
40,2022-04-29 09:55:00+05:30,3.55,3.55,3.45,3.45,44175,5633025
41,2022-04-29 09:56:00+05:30,3.45,3.5,3.4,3.5,27075,5667225
42,2022-04-29 09:57:00+05:30,3.5,3.5,3.45,3.5,11400,5667225
43,2022-04-29 09:58:00+05:30,3.5,3.5,3.5,3.5,11400,5667225
44,2022-04-29 09:59:00+05:30,3.45,3.45,3.4,3.45,28500,5647275
45,2022-04-29 10:00:00+05:30,3.45,3.45,3.45,3.45,5700,5647275
46,2022-04-29 10:01:00+05:30,3.45,3.45,3.4,3.4,2850,5647275
47,2022-04-29 10:02:00+05:30,3.4,3.45,3.35,3.35,12825,5647275
48,2022-04-29 10:03:00+05:30,3.35,3.45,3.35,3.45,7125,5651550
49,2022-04-29 10:04:00+05:30,3.45,3.45,3.4,3.4,9975,5651550
50,2022-04-29 10:05:00+05:30,3.4,3.45,3.4,3.45,8550,5641575
51,2022-04-29 10:06:00+05:30,3.45,3.45,3.45,3.45,11400,5641575
52,2022-04-29 10:07:00+05:30,3.5,3.5,3.45,3.5,19950,5641575
53,2022-04-29 10:08:00+05:30,3.5,3.5,3.5,3.5,7125,5633025
54,2022-04-29 10:09:00+05:30,3.5,3.5,3.45,3.45,1425,5633025
55,2022-04-29 10:10:00+05:30,3.45,3.5,3.45,3.5,4275,5633025
56,2022-04-29 10:11:00+05:30,3.5,3.5,3.5,3.5,8550,5635875
57,2022-04-29 10:12:00+05:30,3.5,3.5,3.5,3.5,2850,5635875
58,2022-04-29 10:13:00+05:30,3.5,3.5,3.5,3.5,7125,5635875
59,2022-04-29 10:14:00+05:30,3.5,3.5,3.5,3.5,1425,5637300
60,2022-04-29 10:15:00+05:30,3.5,3.5,3.45,3.45,2850,5637300
61,2022-04-29 10:16:00+05:30,3.45,3.5,3.45,3.45,4275,5637300
62,2022-04-29 10:17:00+05:30,3.45,3.45,3.45,3.45,9975,5645850
63,2022-04-29 10:18:00+05:30,3.45,3.5,3.45,3.5,4275,5645850
64,2022-04-29 10:19:00+05:30,3.5,3.5,3.5,3.5,1425,5645850
65,2022-04-29 10:20:00+05:30,3.5,3.5,3.5,3.5,0,5645850
66,2022-04-29 10:21:00+05:30,3.5,3.5,3.5,3.5,31350,5647275
67,2022-04-29 10:22:00+05:30,3.5,3.5,3.5,3.5,8550,5647275
68,2022-04-29 10:23:00+05:30,3.5,3.5,3.5,3.5,1425,5628750
69,2022-04-29 10:24:00+05:30,3.5,3.5,3.5,3.5,2850,5628750
70,2022-04-29 10:25:00+05:30,3.5,3.55,3.5,3.5,15675,5628750
71,2022-04-29 10:26:00+05:30,3.5,3.5,3.5,3.5,1425,5628750
72,2022-04-29 10:27:00+05:30,3.5,3.5,3.45,3.45,4275,5628750
73,2022-04-29 10:28:00+05:30,3.45,3.5,3.45,3.5,7125,5628750
74,2022-04-29 10:29:00+05:30,3.45,3.5,3.45,3.5,12825,5635875
75,2022-04-29 10:30:00+05:30,3.5,3.5,3.5,3.5,4275,5635875
76,2022-04-29 10:31:00+05:30,3.5,3.5,3.5,3.5,0,5635875
77,2022-04-29 10:32:00+05:30,3.55,3.55,3.55,3.55,17100,5645850
78,2022-04-29 10:33:00+05:30,3.55,3.55,3.55,3.55,0,5645850
79,2022-04-29 10:34:00+05:30,3.55,3.55,3.55,3.55,0,5645850
80,2022-04-29 10:35:00+05:30,3.5,3.5,3.5,3.5,7125,5645850
81,2022-04-29 10:36:00+05:30,3.5,3.55,3.5,3.55,1425,5645850
82,2022-04-29 10:37:00+05:30,3.55,3.55,3.55,3.55,1425,5645850
83,2022-04-29 10:38:00+05:30,3.5,3.5,3.5,3.5,1425,5645850
84,2022-04-29 10:39:00+05:30,3.5,3.5,3.5,3.5,4275,5647275
85,2022-04-29 10:40:00+05:30,3.5,3.5,3.5,3.5,0,5647275
86,2022-04-29 10:41:00+05:30,3.5,3.5,3.5,3.5,1425,5647275
87,2022-04-29 10:42:00+05:30,3.5,3.5,3.5,3.5,1425,5648700
88,2022-04-29 10:43:00+05:30,3.5,3.5,3.5,3.5,0,5648700
89,2022-04-29 10:44:00+05:30,3.5,3.5,3.5,3.5,0,5648700
90,2022-04-29 10:45:00+05:30,3.5,3.5,3.45,3.45,14250,5647275
91,2022-04-29 10:46:00+05:30,3.45,3.45,3.45,3.45,4275,5647275
92,2022-04-29 10:47:00+05:30,3.45,3.45,3.45,3.45,1425,5647275
93,2022-04-29 10:48:00+05:30,3.45,3.45,3.4,3.4,8550,5654400
94,2022-04-29 10:49:00+05:30,3.4,3.4,3.4,3.4,4275,5654400
95,2022-04-29 10:50:00+05:30,3.4,3.4,3.4,3.4,1425,5654400
96,2022-04-29 10:51:00+05:30,3.4,3.4,3.4,3.4,2850,5668650
97,2022-04-29 10:52:00+05:30,3.4,3.4,3.4,3.4,0,5668650
98,2022-04-29 10:53:00+05:30,3.4,3.4,3.4,3.4,1425,5671500
99,2022-04-29 10:54:00+05:30,3.4,3.45,3.4,3.45,14250,5671500
100,2022-04-29 10:55:00+05:30,3.45,3.45,3.4,3.4,7125,5671500
101,2022-04-29 10:56:00+05:30,3.4,3.4,3.4,3.4,2850,5677200
102,2022-04-29 10:57:00+05:30,3.4,3.4,3.35,3.35,8550,5677200
103,2022-04-29 10:58:00+05:30,3.35,3.4,3.35,3.4,2850,5677200
104,2022-04-29 10:59:00+05:30,3.4,3.45,3.4,3.45,4275,5687175
105,2022-04-29 11:00:00+05:30,3.45,3.45,3.4,3.4,41325,5687175
106,2022-04-29 11:01:00+05:30,3.4,3.5,3.4,3.5,4275,5687175
107,2022-04-29 11:02:00+05:30,3.5,3.5,3.5,3.5,1425,5687175
108,2022-04-29 11:03:00+05:30,3.5,3.55,3.5,3.5,14250,5719950
109,2022-04-29 11:04:00+05:30,3.5,3.5,3.45,3.45,2850,5719950
110,2022-04-29 11:05:00+05:30,3.45,3.5,3.45,3.5,1425,5719950
111,2022-04-29 11:06:00+05:30,3.5,3.6,3.5,3.6,12825,5727075
112,2022-04-29 11:07:00+05:30,3.6,3.65,3.55,3.6,31350,5727075
113,2022-04-29 11:08:00+05:30,3.6,3.6,3.6,3.6,22800,5727075
114,2022-04-29 11:09:00+05:30,3.6,3.6,3.6,3.6,9975,5761275
115,2022-04-29 11:10:00+05:30,3.6,3.7,3.6,3.6,24225,5761275
116,2022-04-29 11:11:00+05:30,3.6,3.6,3.6,3.6,11400,5772675
117,2022-04-29 11:12:00+05:30,3.6,3.6,3.6,3.6,4275,5772675
118,2022-04-29 11:13:00+05:30,3.6,3.6,3.6,3.6,17100,5772675
119,2022-04-29 11:14:00+05:30,3.6,3.6,3.55,3.6,7125,5772675
120,2022-04-29 11:15:00+05:30,3.6,3.6,3.6,3.6,1425,5758425
121,2022-04-29 11:16:00+05:30,3.6,3.6,3.55,3.55,9975,5758425
122,2022-04-29 11:17:00+05:30,3.55,3.55,3.5,3.5,4275,5758425
123,2022-04-29 11:18:00+05:30,3.5,3.5,3.5,3.5,2850,5765550
124,2022-04-29 11:19:00+05:30,3.5,3.5,3.5,3.5,1425,5765550
125,2022-04-29 11:20:00+05:30,3.5,3.5,3.5,3.5,4275,5768400
126,2022-04-29 11:21:00+05:30,3.5,3.55,3.5,3.5,7125,5768400
127,2022-04-29 11:22:00+05:30,3.5,3.55,3.45,3.45,7125,5768400
128,2022-04-29 11:23:00+05:30,3.45,3.45,3.45,3.45,1425,5768400
129,2022-04-29 11:24:00+05:30,3.4,3.5,3.4,3.5,18525,5766975
130,2022-04-29 11:25:00+05:30,3.5,3.5,3.5,3.5,0,5766975
131,2022-04-29 11:26:00+05:30,3.5,3.5,3.5,3.5,0,5766975
132,2022-04-29 11:27:00+05:30,3.5,3.5,3.4,3.4,2850,5761275
133,2022-04-29 11:28:00+05:30,3.4,3.45,3.4,3.45,12825,5761275
